patient,scenario,best_change_pct,final_change_pct,change_wk9_pct,erk_rebound_72h,time_nadir_d,ttp_d,G_fb,k_GEF_basal,k_bind,rho_grow,rho_kill,tau_R,k_Z_up,alpha_Z,beta_Z,Z_0,f_block
68,nsclc_mono,-5.092203354376245,283.15571378262956,47.10264890114859,48.99871762138533,12.0,41.333333333333336,0.6791847893188512,0.02226033291075686,0.32998271406132496,0.000690992425688164,0.0020350853258146247,35.44257062929465,0.0020701819307486356,6.004058258716377,1.0643185915785487,0.2430923952517381,0.0
69,nsclc_mono,-95.0169015575969,-86.56836302880959,-94.81490260954497,63.51910779782022,73.0,152.0,0.7953391308454292,0.027823468890730143,0.13158668234995882,0.00038581145653424553,0.014786717458265838,30.415433445435262,0.000820946408713624,3.451770007171316,1.2222825662078454,0.29086680688178834,0.0
70,nsclc_mono,-90.25122825714256,-90.25122825714256,-70.32106361461244,55.086474470747085,180.0,,1.4935275229190144,0.015507247194480739,0.11399231217876626,0.0005700019220197358,0.007230173365949154,33.886945835026594,0.0026913185665596424,4.875195427849466,0.4626606321846217,0.0816394270361837,0.0
71,nsclc_mono,-94.03128965260954,-94.03128965260954,-73.65017012465566,45.56288476427579,180.0,,0.5877788739527289,0.03223052493323725,0.11172445038761807,0.0002467346430547395,0.004698913678055974,49.16560339052822,0.0019574441664594383,2.8018480198681153,0.6139644690280606,0.24781422708918133,0.0
72,nsclc_mono,-6.29152175383676,194.29339493041488,39.87273729507565,67.59739961976395,10.0,37.333333333333336,1.255464988815468,0.02017906336802775,0.36835540855430965,0.00042918601072301993,0.007847360357962224,37.920276936646935,0.004881222506604233,12.410464377658402,1.0172120566880152,0.3605323703395979,0.0
73,nsclc_mono,-37.18008611743239,-37.18008611743239,-33.65414616645111,42.4922208546122,180.0,,1.1145567339074223,0.0282818129592952,0.20816590677126498,0.00027014673060206786,0.0068386599285539,17.234126610112654,0.002554844924434048,19.761972884582867,0.6821160429452018,0.0001551998330070129,0.0
74,nsclc_mono,-77.61443636257503,-77.61443636257503,-49.087966920065575,35.71848746859982,180.0,,1.1517454779225051,0.02114967035503443,0.18871626530879776,0.0005224683549966945,0.0025462924197745575,51.100550539430046,0.003374443610279783,2.9460409132910783,0.30859310374522814,0.047676413077299064,0.0
75,nsclc_mono,-31.36120950298915,-31.36120950298915,-18.898146454937116,55.997373095657764,180.0,,1.317233886730038,0.026290562539722225,0.1201245446755336,0.0004023914183243764,0.0026445122762968416,26.06059038366659,0.005517657099385765,5.534425276088959,0.42261650248945287,0.07404153245974125,0.0
76,nsclc_mono,-91.9062609747148,-91.9062609747148,-68.11742979938147,33.80214536424557,180.0,,0.5827211127791324,0.014210670196661987,0.1645423121909876,0.0006086132510230825,0.004296507419467473,39.69554046804118,0.002031553526695451,3.590219106673451,0.39229376283095735,0.22079161514589749,0.0
77,nsclc_mono,-20.61301601778991,-15.432024564098567,-20.387196924330652,59.51159257294142,50.0,,1.449951805146313,0.019963670370958423,0.13293862427792152,0.0003190989520062856,0.0026641824535290253,29.92398110676065,0.0029672278366934734,4.174196732535079,0.7332625439067343,0.1489331556115695,0.0
