formulation,time_min,pct_dissolved
coarser,101.0,21.33190296994354
coarser,102.0,21.37031881982007
coarser,103.0,21.4077864867607
coarser,104.0,21.444330248713047
coarser,105.0,21.479973720200306
coarser,106.0,21.514739872431015
coarser,107.0,21.54865105270743
coarser,108.0,21.581729003160852
coarser,109.0,21.613994878841385
coarser,110.0,21.645469265187963
coarser,111.0,21.67617219490344
coarser,112.0,21.706123164258425
coarser,113.0,21.73534114884635
coarser,114.0,21.763844618811277
coarser,115.0,21.79165155356905
coarser,116.0,21.81877945604131
coarser,117.0,21.84524536642119
coarser,118.0,21.87106587548851
coarser,119.0,21.896257137491702
coarser,120.0,21.920834882612645
